Date,Comp845,Comp793,Comp581,Comp135,Comp477,Comp298
2008-01-02,41.334949,29.844723,,34.215664,96.25,49.509022
2008-01-03,41.324924,29.639481,,33.836288,95.209999,48.76791
2008-01-04,40.738297,28.96714,,33.354778,88.790001,47.699825
2008-01-07,41.19455,29.257311,,33.967621,88.82,47.939606
2008-01-08,40.412373,28.096649,,33.537174,87.879997,47.205761
2008-01-09,40.512661,28.492971,,34.215664,85.220001,48.876884
2008-01-10,40.507648,29.250237,,35.309975,84.260002,50.758743
2008-01-11,39.895943,28.917616,,34.813896,81.080002,48.26656
2008-01-14,39.805683,29.271465,,34.777412,82.870003,47.016865
2008-01-15,38.055836,27.721552,,34.281311,80.239998,46.486446
2008-01-16,37.333813,29.321012,,34.646107,80.349998,46.573643
2008-01-17,37.002907,28.337275,,34.638794,80.120003,46.718956
2008-01-18,37.368912,28.018799,,34.711754,79.760002,46.886066
2008-01-22,36.656937,28.917616,,35.893604,78.480003,48.055866
2008-01-23,38.416836,32.357128,,36.593983,73.970001,49.850513
2008-01-24,38.647476,31.819277,,35.682049,77.669998,48.789711
2008-01-25,37.955536,30.885082,,35.083817,77.599998,47.56179
2008-01-28,37.885349,32.250992,,35.536125,75.82,48.21571
2008-01-29,38.331585,33.581512,,35.754993,73.949997,48.448223
2008-01-30,37.770039,33.510738,,35.864441,74.209999,48.121246
2008-01-31,37.760017,33.54612,,37.017101,77.699997,49.363705
2008-02-01,38.692593,34.147697,,37.338108,74.629997,49.254719
2008-02-04,38.29649,32.711021,,36.528305,73.949997,48.666176
2008-02-05,37.123234,31.062016,,36.156246,72.089996,47.13311
2008-02-06,36.120449,30.941704,,35.623672,68.489998,46.290276
2008-02-07,35.975048,31.92544,,36.360516,70.910004,47.045906
2008-02-08,35.819611,31.012465,,35.572601,73.5,45.948788
2008-02-11,35.0224,30.679848,,36.185436,75.190002,46.50098
2008-02-12,36.456379,30.651529,,36.659637,74.449997,46.798889
2008-02-13,36.997887,31.210638,,36.958744,77.730003,47.829311
2008-02-14,36.651928,30.156122,,36.455368,75.800003,46.61319
2008-02-15,36.240784,30.609066,,36.068699,72.959999,46.547657
2008-02-19,36.887581,30.311823,,36.229202,72.080002,45.753891
2008-02-20,36.742168,30.538309,,36.258385,73.639999,47.01371
2008-02-21,36.656937,30.481672,,36.324036,69.900002,47.312283
2008-02-22,37.719891,31.090328,,36.455368,72.080002,48.0769
